setup,window_id,bb,sw,window_center_rest_ghz,window_bandwidth_mhz,n_channels,chan_width_khz,vel_res_kms,line_name,rest_freq_ghz,targeted
HCOp,HCOp_BB1_SW1,1,1,86.339918,58.59,960,61.035,0.212,H13CN J=1-0,86.339918,true
HCOp,HCOp_BB1_SW2,1,2,86.846960,58.59,960,61.035,0.211,SiO v=0 2-1,86.846960,true
HCOp,HCOp_BB2_SW1,2,1,86.754288,58.59,1920,30.518,0.106,H13CO+ 1-0,86.754288,true
HCOp,HCOp_BB3_SW1,3,1,88.631601,58.59,960,61.035,0.207,HCN v=0 J=1-0,88.631601,true
HCOp,HCOp_BB3_SW2,3,2,87.090850,58.59,960,61.035,0.210,HN13C 1-0,87.090850,true
HCOp,HCOp_BB4_SW1,4,1,89.188526,58.59,1920,30.518,0.103,HCO+ 1-0,89.188526,true
N2Hp,N2Hp_BB1_SW1,1,1,90.663564,58.59,960,61.035,0.202,HNC J=1-0,90.663564,true
N2Hp,N2Hp_BB2_SW1,2,1,93.176265,58.59,1920,30.518,0.098,N2H+ J=1-0 F1=0-1,93.176265,true
N2Hp,N2Hp_BB3_SW1,3,1,102.525000,117.19,1920,61.035,0.179,CH3CCH J=6-5 K-ladder,102.525000,true
N2Hp,N2Hp_BB4_SW1,4,1,103.600000,1875.00,1920,976.562,2.826,continuum,103.600000,true
