ID,Gal Lon,Gal Lat,Vlsr,Distance,Herschel F250
AG221.9599-1.9932,221.959942,-1.993195,41.4,3360.0,48.6
AG231.7986-1.9684,231.798603,-1.968368,43.2,3290.0,26.6
AG251.2335-1.9543,251.233292,-1.953741,53.9,4680.0,71.3
AG274.0659-1.1488,274.065918,-1.148782,40.7,2700.0,517.6
AG274.0672-1.1519,274.0672,-1.151831,40.7,2700.0,313.8
AG300.1639-0.0889,300.162415,-0.088206,-39.4,4190.0,92.7
AG300.3407-0.2197,300.33773072174506,-0.21676672174505604,-38.4,4210.0,20.3
AG300.4838-0.1042,300.482269,-0.103044,-36.5,4230.0,42.4
AG300.7479+0.0976,300.746796,0.097371,-36.5,4260.0,108.3
AG301.1365-0.2259,301.136475,-0.225903,-39.3,4310.0,791.9
AG301.2802-0.2244,301.281067,-0.225789,-37.4,4330.0,18.2
AG301.6337-0.2355,301.631989,-0.235876,-37.9,4370.0,57.5
AG301.6593-0.2494,301.660919,-0.248925,-37.2,4380.0,26.4
AG301.6806+0.2458,301.682129,0.245207,-38.9,4380.0,35.2
AG301.7515+0.2698,301.751923,0.269611,-37.2,4390.0,15.0
AG302.0212+0.2528,302.021301,0.253832,-46.0,4420.0,244.6
AG302.3401+0.2770,302.340576,0.277988,-43.4,4460.0,14.7
AG302.3912+0.2800,302.389099,0.279484,-43.5,4470.0,335.8
AG304.0906+0.4184,304.089203,0.419123,-41.5,4590.0,23.5
AG304.5567+0.3273,304.556488,0.327171,-42.7,4730.0,183.8
AG304.5988+0.3503,304.6068133333333,0.350652,-41.6,4070.0,17.8
AG304.7241+0.2672,304.71560466666665,0.266676,-42.2,4190.0,28.6
AG304.8118+0.2031,304.811035,0.204945,-43.5,4760.0,19.8
AG304.8315+0.3358,304.831757,0.333482,-42.6,4250.0,30.3
AG305.0971+0.0871,305.098114,0.087801,-35.2,2900.0,99.3
AG305.1375+0.0680,305.137939,0.068534,-36.9,3100.0,292.0
AG305.1934-0.0057,305.193365,0.002705333333333333,-34.6,2820.0,258.5
AG305.1957+0.0330,305.195221,0.032613,-35.6,2930.0,787.4
AG305.1986+0.0071,305.199371,0.002803333333333333,-33.1,2660.0,237.6
AG305.2541+0.0806,305.254944,0.079924,-44.0,4500.0,33.6
AG305.2715-0.0092,305.26828,-0.009877,-31.6,2500.0,1156.7
AG305.3837-0.2339,305.38327,-0.234844,-42.4,3900.0,63.9
AG306.6463+0.3721,306.647552,0.372846,-38.0,3010.0,21.1
AG307.7567+0.3536,307.75647,0.352513,-44.2,4000.0,148.1
AG308.3320-0.0591,308.333374,-0.05182766666666667,-57.7,4000.0,10.4
AG308.3868+0.3501,308.387238,0.349416,-38.5,2880.0,36.7
AG308.8759+0.1730,308.8815635565099,0.1684034434901121,-49.8,4110.0,10.7
AG308.9181+0.1233,308.917847,0.123266,-51.2,4360.0,561.7
AG309.1727-0.3273,309.17079072174505,-0.33030127825494393,-40.8,4000.0,49.9
AG309.2207-0.4622,309.22894533333334,-0.462184,-40.0,4000.0,131.9
AG309.2366-0.4569,309.2302224434901,-0.4640255565098879,-40.9,4000.0,137.0
AG309.5543-0.0916,309.553894,-0.092812,-52.4,4350.0,11.2
AG309.9820-0.2264,309.981415,-0.224399,-51.3,4050.0,41.4
AG309.9935-0.2286,309.993408,-0.228351,-50.7,3960.0,18.5
AG310.0135+0.3893,310.013489,0.389299,-40.7,2930.0,563.6
AG310.3753-0.3033,310.37822127825495,-0.3006987217450561,-53.4,4250.0,95.5
AG310.6481-0.2341,310.647522,-0.234871,-56.7,4800.0,12.5
AG310.8797+0.0063,310.879578,0.006141,-57.3,4820.0,188.9
AG311.0537+0.3930,311.054108,0.39252,-54.2,4190.0,24.3
AG311.1811+0.1563,311.1753814434901,0.1609785565098879,-56.5,4510.0,16.7
AG311.2340+0.3677,311.235077,0.367542,-52.0,3880.0,15.2
AG311.5130-0.4532,311.51713966666665,-0.4532,-51.0,3730.0,169.9
AG311.6290+0.2659,311.62854,0.265679,-56.3,4340.0,189.6
AG311.6969-0.1451,311.69577,-0.144676,-58.2,4630.0,22.8
AG312.1207-0.0823,312.12085,-0.081348,-58.3,4510.0,38.9
AG312.4758-0.0556,312.475708,-0.055629,-49.3,3450.0,40.7
AG312.5900-0.5020,312.589783,-0.502958,-59.4,4540.0,104.7
AG314.2664+0.0911,314.267212,0.08256466666666668,-51.1,3440.0,232.6
AG314.3721+0.0949,314.370911,0.095539,-47.7,3170.0,16.1
AG316.4045-0.4657,316.402893,-0.46607,-47.1,3020.0,26.7
AG316.7670-0.0240,316.765808,-0.019769333333333333,-40.9,2610.0,567.3
AG316.7996-0.0559,316.7942784434901,-0.048982443490112104,-40.8,2600.0,1193.0
AG316.8113-0.0575,316.8171105565099,-0.051550443490112105,-39.8,2540.0,1030.9
AG317.4083+0.1103,317.407959,0.11852633333333333,-40.2,2550.0,528.0
AG318.0491+0.0873,318.04491733333333,0.087358,-50.4,3170.0,647.3
AG319.7910-0.4594,319.790802,-0.456304,-65.6,4090.0,22.4
AG320.2463-0.2942,320.247192,-0.295432,-66.6,4120.0,307.6
AG320.6753+0.2459,320.674774,0.245913,-58.2,3560.0,159.3
AG323.4594-0.0788,323.459412,-0.078927,-68.2,4050.0,961.7
AG323.7402-0.2625,323.7317966666667,-0.262447,-50.4,3050.0,0.0
AG323.7408-0.2633,323.7323886666667,-0.263269,-50.3,3050.0,0.0
AG325.1946-0.0849,325.1875584434901,-0.07852844349011211,-78.5,4580.0,39.6
AG326.4727-0.3776,326.472992,-0.377955,-54.2,3250.0,783.0
AG326.5444+0.1696,326.544739,0.169389,-75.0,4330.0,242.3
AG326.5647+0.1253,326.56281872174503,0.12971427825494394,-73.9,4270.0,26.0
AG326.6550+0.4613,326.654968,0.4696923333333334,-41.2,2570.0,41.6
AG326.7167+0.4438,326.716064,0.444587,-42.5,2640.0,105.1
AG326.7744-0.1264,326.774353,-0.126314,-55.0,3290.0,100.4
AG326.7806-0.2413,326.780579,-0.23272166666666666,-64.2,3770.0,264.1
AG326.7858-0.4159,326.7854,-0.415207,-56.9,3390.0,28.1
AG326.8407-0.0461,326.83905,-0.045392,-54.4,3260.0,37.3
AG326.8567-0.0574,326.8518656666667,-0.057119,-58.6,3480.0,161.0
AG326.8832-0.2663,326.87646266666667,-0.265706,-45.9,2820.0,87.7
AG326.9188-0.3046,326.9221656666667,-0.305156,-46.0,2830.0,116.9
AG326.9435-0.1675,326.9493125565099,-0.1625714434901121,-45.8,2820.0,48.1
AG326.9646-0.0018,326.964478,-0.001419,-54.6,3270.0,137.4
AG326.9726-0.0318,326.9777076666667,-0.031036,-59.0,3500.0,65.6
AG327.0513+0.0386,327.050568,0.03266433333333334,-61.7,3640.0,78.5
AG327.0692-0.2884,327.068451,-0.28755,-61.5,3630.0,37.4
AG327.0931-0.3027,327.095093,-0.303975,-59.1,3500.0,28.3
AG327.1292-0.2683,327.130585,-0.266314,-62.2,3660.0,166.2
AG327.1635-0.2503,327.161407,-0.25571066666666664,-61.9,3650.0,86.8
AG327.1665-0.3545,327.16803,-0.35409,-61.5,3630.0,60.7
AG327.2300-0.5027,327.228027,-0.504636,-49.1,2990.0,153.7
AG327.2420-0.2282,327.238586,-0.22231166666666666,-65.4,3820.0,33.4
AG327.2455-0.2176,327.245422,-0.217523,-62.8,3690.0,15.7
AG327.4026+0.4445,327.402161,0.444879,-78.1,4480.0,1008.6
AG327.6283-0.3559,327.628265,-0.356885,-72.5,4180.0,141.4
AG327.7108-0.3939,327.710938,-0.393396,-75.8,4350.0,148.7
AG327.7328-0.3861,327.7240576666667,-0.386997,-75.8,4350.0,301.0
AG327.7675-0.3460,327.767792,-0.344978,-78.0,4460.0,295.4
AG327.9464-0.1153,327.946376,-0.115285,-47.4,2910.0,127.1
AG328.0595+0.3706,328.0644865565099,0.3754565565098879,-86.8,4920.0,56.7
AG328.2823-0.0457,328.282898,-0.045993,-77.7,4440.0,13.9
AG328.3379+0.0793,328.336304,0.077759,-77.1,4410.0,12.3
AG328.3468-0.4568,328.346771,-0.46018666666666663,-43.9,2740.0,47.7
AG328.4075-0.1077,328.406158,-0.107397,-78.4,4470.0,22.6
AG328.5488+0.2716,328.548805,0.271667,-59.0,3510.0,115.7
AG328.5668+0.4234,328.566833,0.423259,-87.9,4960.0,87.1
AG328.8537+0.3064,328.84901333333335,0.305343,-86.6,4880.0,44.7
AG328.8987+0.3496,328.8923924434901,0.3543735565098879,-81.8,4630.0,97.6
AG329.0399-0.1383,329.03894,-0.135664,-50.2,3070.0,17.0
AG329.2723+0.1149,329.272285,0.114914,-76.8,4380.0,120.5
AG329.3134-0.3016,329.312042,-0.301187,-74.3,4260.0,31.4
AG329.3757-0.2863,329.374054,-0.29448833333333335,-76.5,4360.0,14.6
AG329.3875-0.2997,329.38573944349014,-0.2910074434901121,-75.5,4320.0,18.9
AG329.4061-0.4590,329.3978856666667,-0.458993,-72.9,4190.0,1215.6
AG329.4259-0.1626,329.424103,-0.162156,-76.5,4360.0,575.8
AG329.4491+0.4865,329.4549585565099,0.4928975565098879,-68.9,4000.0,16.4
AG329.5249+0.0848,329.524445,0.085242,-87.8,4920.0,306.2
AG329.6101+0.1137,329.61007,0.113777,-64.2,3770.0,99.4
AG330.6727-0.3741,330.67392,-0.376467,-66.6,3900.0,109.5
AG330.6769-0.4022,330.676544,-0.404015,-64.1,3780.0,295.5
AG330.7858-0.3220,330.7785314434901,-0.3201754434901121,-61.3,3650.0,32.6
AG330.8746-0.3832,330.876373,-0.382878,-64.3,3800.0,485.7
AG330.9586-0.2724,330.958923,-0.273341,-88.4,4920.0,203.6
AG330.9704-0.1535,330.972717,-0.153544,-89.6,4980.0,74.5
AG331.0328-0.4161,331.0273714434901,-0.4193775565098879,-64.4,3800.0,87.2
AG331.0782-0.1958,331.07605,-0.197171,-67.8,3960.0,33.3
AG331.0843-0.4758,331.083099,-0.47474,-67.7,3960.0,92.9
AG331.1317-0.2443,331.131439,-0.24376,-86.0,4800.0,1022.5
AG331.1916-0.4618,331.191528,-0.45901233333333336,-71.2,4120.0,144.0
AG331.2086-0.0901,331.209656,-0.08416166666666666,-87.8,4890.0,23.2
AG331.2226+0.0128,331.223877,0.01261,-89.7,4980.0,16.6
AG331.2430-0.1997,331.244568,-0.198961,-87.1,4860.0,141.0
AG331.2490-0.4484,331.250702,-0.449753,-71.4,4130.0,13.3
AG331.2789-0.1874,331.278625,-0.188272,-87.5,4870.0,789.2
AG331.3423-0.3458,331.35016033333335,-0.346222,-65.8,3880.0,361.7
AG331.3705-0.3988,331.368896,-0.399218,-65.2,3850.0,52.0
AG331.3737-0.1142,331.373169,-0.11407,-47.6,3000.0,19.7
AG331.3852-0.0117,331.386719,-0.010482,-80.7,4560.0,62.6
AG331.4178-0.3543,331.42201366666666,-0.353916,-63.1,3750.0,607.5
AG331.4810-0.0733,331.480957,-0.071085,-84.9,4750.0,178.9
AG331.5441-0.0661,331.542419,-0.07424833333333333,-88.4,4910.0,509.6
AG331.6100+0.0827,331.6143215565099,0.0778604434901121,-87.5,4870.0,18.6
AG331.6185-0.0445,331.62432255650987,-0.03858444349011211,-76.3,4360.0,79.6
AG331.6800-0.0300,331.680375278255,-0.03291627825494395,-85.2,4770.0,101.7
AG331.8563-0.1235,331.859910278255,-0.11875272174505605,-51.3,3200.0,80.0
AG332.0946-0.4207,332.0878574434901,-0.4263895565098879,-57.1,3480.0,671.0
AG332.1317+0.1039,332.1395283333333,0.104915,-89.0,4940.0,20.4
AG332.2088-0.0153,332.207733,-0.015274,-49.0,3090.0,37.3
AG332.2955-0.0935,332.295105,-0.093846,-48.7,3080.0,649.8
AG332.3154+0.1822,332.314972,0.182772,-48.9,3090.0,60.3
AG332.4237+0.1822,332.422485,0.181152,-46.8,2990.0,43.5
AG332.6586+0.2102,332.658447,0.211178,-46.2,2970.0,16.7
AG332.9526-0.2883,332.953857,-0.287441,-50.6,3800.0,26.9
AG332.9866-0.5019,332.986572,-0.49585733333333337,-53.2,3800.0,149.7
AG332.9868-0.4878,332.9808934434901,-0.4930505565098879,-53.7,3800.0,412.2
AG333.0025-0.4358,333.003265,-0.437263,-55.6,3800.0,659.7
AG333.0123-0.4666,333.01181,-0.464177,-53.0,3800.0,435.5
AG333.0192-0.4497,333.018066,-0.4560073333333334,-54.6,3800.0,318.5
AG333.0367-0.4056,333.038605,-0.405978,-50.8,3800.0,165.0
AG333.0679-0.4469,333.07625333333334,-0.446832,-52.5,3800.0,0.0
AG333.0733-0.4001,333.077423,-0.40438466666666667,-52.9,3800.0,202.9
AG333.0920-0.3530,333.09259,-0.34926533333333337,-51.6,3800.0,123.3
AG333.1117-0.5019,333.10868733333336,-0.501326,-57.6,3800.0,335.4
AG333.1259-0.4399,333.125909,-0.439876,-49.6,3800.0,0.0
AG333.1825-0.3974,333.182495,-0.397354,-50.7,3800.0,213.1
AG333.1852-0.0910,333.184296,-0.090571,-86.8,4840.0,210.9
AG333.2217-0.4020,333.220703,-0.39750633333333335,-52.8,3800.0,474.0
AG333.2445+0.0569,333.2509795565099,0.05090044349011211,-48.3,3090.0,143.6
AG333.2858-0.3892,333.289124,-0.387634,-52.7,3310.0,602.8
