source_name,array,sb_name,sgous_id,gous_id,mous_ids,Line group
AG221.9599-1.9932,SM,AG231.79_a_03_7M,X3833_X64b8,X3833_X64b9,X3833_X64bc,N2H+
AG221.9599-1.9932,SM,AG231.79_b_03_7M,X3833_X6566,X3833_X6567,X3833_X656a,HCO+
AG221.9599-1.9932,TM,AG231.79_a_03_TM1,X3833_X64b8,X3833_X64b9,X3833_X64ba,N2H+
AG221.9599-1.9932,TM,AG231.79_b_03_TM1,X3833_X6566,X3833_X6567,X3833_X6568,HCO+
AG221.9599-1.9932,TP,AG231.79_a_03_TP,X3833_X64b8,X3833_X64b9,X3833_X64be,N2H+
AG221.9599-1.9932,TP,AG231.79_b_03_TP,X3833_X6566,X3833_X6567,X3833_X656c,HCO+
AG231.7986-1.9684,SM,AG231.79_a_03_7M,X3833_X64b8,X3833_X64b9,X3833_X64bc,N2H+
AG231.7986-1.9684,SM,AG231.79_b_03_7M,X3833_X6566,X3833_X6567,X3833_X656a,HCO+
AG231.7986-1.9684,TM,AG231.79_a_03_TM1,X3833_X64b8,X3833_X64b9,X3833_X64ba,N2H+
AG231.7986-1.9684,TM,AG231.79_b_03_TM1,X3833_X6566,X3833_X6567,X3833_X6568,HCO+
AG231.7986-1.9684,TP,AG231.79_a_03_TP,X3833_X64b8,X3833_X64b9,X3833_X64be,N2H+
AG231.7986-1.9684,TP,AG231.79_b_03_TP,X3833_X6566,X3833_X6567,X3833_X656c,HCO+
AG251.2335-1.9543,SM,AG251.23_a_03_7M,X3833_X64b8,X3833_X64c0,X3833_X64c3,N2H+
AG251.2335-1.9543,SM,AG251.23_b_03_7M,X3833_X6566,X3833_X656e,X3833_X6571,HCO+
AG251.2335-1.9543,TM,AG251.23_a_03_TM1,X3833_X64b8,X3833_X64c0,X3833_X64c1,N2H+
AG251.2335-1.9543,TM,AG251.23_b_03_TM1,X3833_X6566,X3833_X656e,X3833_X656f,HCO+
AG251.2335-1.9543,TP,AG251.23_a_03_TP,X3833_X64b8,X3833_X64c0,X3833_X64c5,N2H+
AG251.2335-1.9543,TP,AG251.23_b_03_TP,X3833_X6566,X3833_X656e,X3833_X6573,HCO+
AG274.0659-1.1488,SM,AG274.06_a_03_7M,X3833_X64b8,X3833_X64c7,X3833_X64ca,N2H+
AG274.0659-1.1488,SM,AG274.06_b_03_7M,X3833_X6566,X3833_X6575,X3833_X6578,HCO+
AG274.0659-1.1488,TM,AG274.06_a_03_TM1,X3833_X64b8,X3833_X64c7,X3833_X64c8,N2H+
AG274.0659-1.1488,TM,AG274.06_b_03_TM1,X3833_X6566,X3833_X6575,X3833_X6576,HCO+
AG274.0659-1.1488,TP,AG274.06_a_03_TP,X3833_X64b8,X3833_X64c7,X3833_X64cc,N2H+
AG274.0659-1.1488,TP,AG274.06_b_03_TP,X3833_X6566,X3833_X6575,X3833_X657a,HCO+
AG274.0672-1.1519,SM,AG274.06_a_03_7M,X3833_X64b8,X3833_X64c7,X3833_X64ca,N2H+
AG274.0672-1.1519,SM,AG274.06_b_03_7M,X3833_X6566,X3833_X6575,X3833_X6578,HCO+
AG274.0672-1.1519,TM,AG274.06_a_03_TM1,X3833_X64b8,X3833_X64c7,X3833_X64c8,N2H+
AG274.0672-1.1519,TM,AG274.06_b_03_TM1,X3833_X6566,X3833_X6575,X3833_X6576,HCO+
AG274.0672-1.1519,TP,AG274.06_a_03_TP,X3833_X64b8,X3833_X64c7,X3833_X64cc,N2H+
AG274.0672-1.1519,TP,AG274.06_b_03_TP,X3833_X6566,X3833_X6575,X3833_X657a,HCO+
AG300.1639-0.0889,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG300.1639-0.0889,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG300.1639-0.0889,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG300.1639-0.0889,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG300.1639-0.0889,TP,AG300.16_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d6,N2H+
AG300.1639-0.0889,TP,AG300.16_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6586,HCO+
AG300.3407-0.2197,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG300.3407-0.2197,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG300.3407-0.2197,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG300.3407-0.2197,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG300.3407-0.2197,TP,AG300.34_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d4,N2H+
AG300.3407-0.2197,TP,AG300.34_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6582,HCO+
AG300.4838-0.1042,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG300.4838-0.1042,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG300.4838-0.1042,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG300.4838-0.1042,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG300.4838-0.1042,TP,AG300.16_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6586,HCO+
AG300.4838-0.1042,TP,AG300.34_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d4,N2H+
AG300.7479+0.0976,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG300.7479+0.0976,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG300.7479+0.0976,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG300.7479+0.0976,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG300.7479+0.0976,TP,AG300.16_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d6,N2H+
AG300.7479+0.0976,TP,AG300.74_a_03_TP,X3833_X657c,X3833_X657d,X3833_X6584,HCO+
AG301.1365-0.2259,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG301.1365-0.2259,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG301.1365-0.2259,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG301.1365-0.2259,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG301.1365-0.2259,TP,AG300.34_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6582,HCO+
AG301.1365-0.2259,TP,AG301.13_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d8,N2H+
AG301.2802-0.2244,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG301.2802-0.2244,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG301.2802-0.2244,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG301.2802-0.2244,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG301.2802-0.2244,TP,AG300.34_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6582,HCO+
AG301.2802-0.2244,TP,AG301.13_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d8,N2H+
AG301.6337-0.2355,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG301.6337-0.2355,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG301.6337-0.2355,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG301.6337-0.2355,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG301.6337-0.2355,TP,AG300.34_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d4,N2H+
AG301.6337-0.2355,TP,AG300.74_a_03_TP,X3833_X657c,X3833_X657d,X3833_X6584,HCO+
AG301.6593-0.2494,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG301.6593-0.2494,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG301.6593-0.2494,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG301.6593-0.2494,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG301.6593-0.2494,TP,AG300.74_a_03_TP,X3833_X657c,X3833_X657d,X3833_X6584,HCO+
AG301.6593-0.2494,TP,AG301.13_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d8,N2H+
AG301.6806+0.2458,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG301.6806+0.2458,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG301.6806+0.2458,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG301.6806+0.2458,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG301.6806+0.2458,TP,AG300.16_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6586,HCO+
AG301.6806+0.2458,TP,AG301.13_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d8,N2H+
AG301.7515+0.2698,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG301.7515+0.2698,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG301.7515+0.2698,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG301.7515+0.2698,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG301.7515+0.2698,TP,AG300.16_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d6,N2H+
AG301.7515+0.2698,TP,AG300.74_a_03_TP,X3833_X657c,X3833_X657d,X3833_X6584,HCO+
AG302.0212+0.2528,SM,AG300.16_a_03_7M,X3833_X64ce,X3833_X64cf,X3833_X64d2,N2H+
AG302.0212+0.2528,SM,AG301.28_a_03_7M,X3833_X657c,X3833_X657d,X3833_X6580,HCO+
AG302.0212+0.2528,TM,AG300.16_a_03_TM1,X3833_X64ce,X3833_X64cf,X3833_X64d0,N2H+
AG302.0212+0.2528,TM,AG301.28_a_03_TM1,X3833_X657c,X3833_X657d,X3833_X657e,HCO+
AG302.0212+0.2528,TP,AG300.34_a_03_TP,X3833_X64ce,X3833_X64cf,X3833_X64d4,N2H+
AG302.0212+0.2528,TP,AG300.34_b_03_TP,X3833_X657c,X3833_X657d,X3833_X6582,HCO+
